id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent
1,Bowman High School,Michigan,Private,High,9575.8,65.9,17.5,30.0,44.0,74.1,3.44
2,Foster High School,Michigan,Charter,Middle,16733.1,87.3,24.2,93.5,40.1,79.9,8.67
3,Henson High School,New York,Public,Middle,24890.74,72.8,27.0,58.1,35.8,51.1,14.75
4,Weaver High School,Texas,Private,Elementary,6857.49,81.5,26.2,82.7,72.0,55.5,13.45
5,King Elementary School,Michigan,Public,Elementary,16910.73,44.7,20.2,41.4,16.1,57.8,6.98
6,Olson Elementary School,Pennsylvania,Private,Elementary,14930.51,46.3,26.8,64.5,12.6,70.1,11.95
7,Williams Middle School,Georgia,Public,Middle,15914.06,84.8,28.4,30.1,76.8,63.0,7.0
8,Boyd High School,Georgia,Private,High,24162.52,66.9,23.4,66.2,33.9,90.4,8.54
9,Fox Middle School,New York,Charter,High,6962.53,69.4,11.5,15.7,48.6,98.1,7.19
10,Garcia High School,New York,Charter,Middle,19092.17,68.6,14.9,89.3,94.3,54.9,1.62
11,Lucero Middle School,Georgia,Private,High,6285.37,66.8,12.7,77.7,40.7,73.1,13.99
12,Cline Middle School,Illinois,Charter,Middle,14346.55,74.6,23.7,26.2,25.4,97.5,7.14
13,Smith High School,California,Public,High,22343.11,59.4,13.9,61.8,13.7,88.3,8.66
14,Acosta Middle School,New York,Charter,Elementary,10266.69,56.3,10.1,74.3,51.2,96.1,5.68
15,Luna Elementary School,North Carolina,Private,Middle,10802.16,52.3,28.4,63.3,64.5,65.4,6.37
16,Mccann High School,Illinois,Private,High,13292.01,47.4,26.7,92.7,20.0,66.6,9.44
17,Allen High School,Michigan,Charter,Elementary,23644.5,94.4,26.7,40.4,72.3,77.4,8.56
18,Salinas High School,Texas,Public,Middle,18044.06,71.7,25.7,54.7,58.7,88.1,9.96
19,Morris High School,Pennsylvania,Private,Elementary,7851.38,97.9,21.9,82.1,53.5,63.5,1.11
20,Townsend Middle School,Pennsylvania,Public,Elementary,13440.79,46.2,16.8,75.1,19.2,85.9,5.7
21,Moss Elementary School,Michigan,Charter,Elementary,17500.61,45.0,18.8,37.7,80.3,95.1,4.48
22,Johnson Elementary School,Georgia,Public,Elementary,9020.39,48.0,14.0,37.6,36.4,72.4,1.95
23,Ward Middle School,Georgia,Private,Elementary,7094.65,57.2,25.4,53.6,42.5,65.4,5.51
24,Chan Middle School,Michigan,Private,Middle,8923.15,54.5,14.8,58.0,87.4,60.3,9.27
25,Foley Elementary School,Texas,Private,Middle,20187.31,77.5,27.7,63.8,14.3,57.9,11.36
26,Vang Elementary School,Illinois,Public,Middle,15223.64,56.2,18.7,34.7,39.8,54.5,3.48
27,Johnson High School,Texas,Public,High,21981.75,43.5,25.4,93.7,49.8,59.2,11.23
28,West Middle School,Georgia,Private,High,10043.98,47.0,13.1,91.4,23.7,68.5,2.17
29,Gray Elementary School,Georgia,Private,High,12912.16,54.2,24.4,60.9,33.0,61.8,14.92
30,Gonzales Elementary School,Texas,Public,Middle,23559.56,93.5,17.4,37.8,27.1,87.4,0.74
31,Reed High School,New York,Charter,Middle,15304.77,57.2,21.2,10.8,32.4,76.7,14.3
32,Rodriguez High School,Pennsylvania,Public,High,7989.19,77.4,14.4,57.9,87.3,89.4,12.16
33,Wilson High School,Georgia,Charter,High,19374.92,89.5,19.2,82.5,30.7,65.3,1.03
34,Barker Middle School,North Carolina,Private,Elementary,18227.52,48.1,22.0,27.1,73.9,56.3,3.23
35,Sanchez Elementary School,Illinois,Private,Elementary,14938.49,88.8,28.7,90.7,60.1,89.3,10.88
36,Mendoza High School,Illinois,Public,High,13059.74,78.2,14.8,80.5,44.7,93.2,9.95
37,Chambers Elementary School,Georgia,Public,Elementary,17312.81,59.1,11.2,61.9,69.5,79.8,14.27
38,Anderson Middle School,California,Charter,Elementary,9326.02,87.3,16.7,74.3,49.5,67.5,13.32
39,Wallace Middle School,North Carolina,Charter,Middle,19531.96,67.0,26.0,28.1,19.7,74.8,1.86
40,Morales Middle School,Georgia,Private,Middle,10648.17,97.7,19.5,93.6,10.2,65.8,8.88
41,Rodriguez High School,Pennsylvania,Private,High,19522.7,84.3,12.0,91.1,12.1,73.1,3.76
42,Harrington Middle School,California,Public,Elementary,8089.92,82.0,27.5,60.7,39.3,57.8,4.03
43,Moore Middle School,Georgia,Charter,Middle,8623.83,96.1,13.1,93.6,19.8,67.6,12.21
44,Nelson High School,California,Charter,High,9240.59,52.7,14.7,34.6,84.0,97.0,6.45
45,Zamora High School,Pennsylvania,Private,High,5025.47,44.7,17.9,54.8,31.3,67.2,4.68
46,Stevenson Middle School,California,Charter,High,14815.59,75.2,12.5,14.4,92.1,99.0,0.54
47,Bruce High School,Georgia,Charter,Elementary,7032.22,61.6,22.0,87.8,9.4,71.3,6.16
48,Wilson Elementary School,Ohio,Public,Elementary,11139.07,64.2,19.6,66.3,15.1,72.4,0.61
49,Lang Elementary School,California,Private,Elementary,21910.63,82.7,20.4,25.7,64.5,70.0,13.28
50,Davis Elementary School,Florida,Charter,Middle,8712.23,97.1,28.5,54.1,78.7,80.1,12.59
51,Young Middle School,Michigan,Private,Middle,10993.24,90.6,17.0,61.3,17.9,57.3,11.72
52,Harris Elementary School,Ohio,Private,Middle,23247.72,59.8,16.2,12.1,64.6,60.8,7.8
53,Anderson Middle School,North Carolina,Public,Middle,18681.54,99.9,10.0,87.7,25.6,79.9,11.4
54,Pearson High School,California,Private,Middle,12555.39,87.5,28.7,79.1,50.4,76.2,13.01
55,Petersen Middle School,New York,Private,High,21626.14,75.5,18.1,81.7,50.7,90.9,14.17
56,Mann Elementary School,Texas,Private,Middle,7857.37,52.3,16.0,83.1,93.0,54.0,6.63
57,Vincent High School,Florida,Private,Elementary,8653.6,48.8,17.2,33.1,69.6,54.9,11.48
58,Campbell Elementary School,Pennsylvania,Charter,Middle,17500.22,41.7,13.8,43.5,93.5,88.6,12.51
59,Dickerson Middle School,Ohio,Public,Middle,7090.83,97.8,12.3,79.1,73.7,63.9,14.81
60,Williamson Middle School,Florida,Charter,High,18628.55,54.8,13.6,72.5,83.8,73.3,2.4
61,King Elementary School,Illinois,Public,Elementary,11599.39,53.1,15.1,89.1,17.7,61.9,14.16
62,Contreras Elementary School,Pennsylvania,Private,Middle,15336.22,80.0,12.6,69.2,35.4,72.5,4.32
63,Schwartz Middle School,Illinois,Charter,Middle,9241.06,81.9,17.9,71.5,86.0,70.9,14.95
64,Lynch High School,Illinois,Charter,Elementary,15056.81,53.5,14.7,20.4,20.0,88.9,13.1
65,Martin Middle School,North Carolina,Charter,Elementary,23787.56,47.5,18.4,40.8,94.8,77.9,9.86
66,Rowe High School,New York,Private,High,9839.32,63.4,16.0,55.9,22.4,80.0,12.89
67,Parker Elementary School,Ohio,Charter,Elementary,13670.08,55.7,29.4,45.6,28.8,92.9,1.72
68,Dean Middle School,Georgia,Charter,High,10475.16,99.9,10.2,59.4,46.8,97.4,12.77
69,Hamilton Middle School,Texas,Private,Middle,6940.05,55.4,23.3,56.2,29.6,67.2,5.56
70,Wilson Elementary School,Florida,Public,Elementary,9927.3,48.4,26.9,12.3,49.9,94.9,4.27
71,Ward High School,Ohio,Private,Elementary,8114.34,83.5,27.3,28.6,41.3,53.0,2.01
72,Mann Elementary School,North Carolina,Public,High,6576.76,95.7,19.3,59.5,35.1,86.9,4.82
73,Anderson Middle School,Pennsylvania,Charter,Middle,7681.0,41.3,11.1,60.3,25.3,79.2,4.85
74,Howard Elementary School,Illinois,Private,High,15499.02,73.8,12.0,88.6,22.4,95.7,12.68
75,Powell High School,Illinois,Private,Elementary,8211.36,58.5,20.6,34.9,41.9,72.5,6.85
76,Boyd Elementary School,Michigan,Public,High,12311.0,78.5,20.7,27.6,81.7,57.0,1.71
77,Rios High School,Georgia,Public,Elementary,13331.98,88.1,24.3,48.2,11.6,69.7,1.15
78,Garcia High School,Pennsylvania,Private,High,24602.03,46.8,13.5,71.2,71.6,73.5,11.5
79,Scott Elementary School,North Carolina,Public,Elementary,19298.9,99.6,15.1,19.7,16.9,75.5,12.77
80,Moore High School,Pennsylvania,Private,High,19502.61,96.1,20.3,39.4,35.8,96.4,3.31
81,Warren High School,Georgia,Public,Middle,20087.92,86.4,16.0,76.4,39.2,50.4,2.31
82,Mendoza High School,California,Public,Middle,6934.67,64.6,28.7,93.3,14.0,98.4,6.18
83,Mcdonald High School,Illinois,Public,High,23377.05,85.8,19.1,23.1,37.4,90.5,6.75
84,Richardson Middle School,North Carolina,Private,Middle,22787.89,57.6,10.2,80.6,37.2,82.8,9.24
85,Henry Middle School,North Carolina,Private,Elementary,19248.09,92.4,25.8,75.3,11.0,66.4,13.71
86,Nichols High School,Michigan,Charter,Middle,13328.58,49.0,10.3,18.3,46.3,87.2,8.06
87,Porter High School,Georgia,Private,High,17792.38,88.0,27.9,76.0,92.2,97.5,3.07
88,Reynolds Elementary School,Texas,Private,Elementary,23875.89,43.1,14.6,30.9,83.5,78.9,5.83
89,Ross Middle School,Illinois,Charter,Elementary,21258.7,49.5,11.5,82.4,61.7,64.9,12.56
90,Johnson Middle School,Illinois,Charter,High,12828.81,64.4,27.2,71.2,82.2,56.8,2.7
91,Tran Elementary School,Georgia,Private,Elementary,22304.35,84.8,11.8,31.8,9.1,59.9,11.81
92,Thompson High School,Pennsylvania,Private,Middle,21671.06,49.8,16.6,13.1,18.0,75.1,6.08
93,Floyd Middle School,Michigan,Charter,High,9254.95,41.6,16.0,19.9,9.8,90.4,9.34
94,Ellis Elementary School,Illinois,Private,High,13014.56,79.7,16.2,82.8,60.7,97.5,9.93
95,Clark Elementary School,Illinois,Charter,High,22655.31,43.5,26.4,11.1,82.8,75.4,13.59
96,Porter Middle School,North Carolina,Charter,Middle,15320.99,80.9,12.9,80.4,80.1,63.5,10.7
97,Barnes High School,New York,Public,Elementary,9815.54,80.5,23.8,66.9,21.4,67.9,9.16
98,Rhodes High School,Pennsylvania,Public,Elementary,7179.17,62.5,26.9,75.2,23.3,87.0,8.82
99,Jackson High School,Michigan,Public,Elementary,10909.43,42.0,21.9,24.7,43.5,95.9,7.4
100,Richardson Elementary School,New York,Charter,High,18018.42,41.6,10.1,26.5,11.2,92.9,13.91
101,Robinson High School,California,Public,Middle,21416.89,52.7,18.9,54.6,63.4,77.0,8.12
102,Cardenas Middle School,Pennsylvania,Public,High,22558.79,88.5,10.7,49.6,22.6,86.1,12.83
103,Anderson High School,Pennsylvania,Charter,Elementary,21093.21,96.2,10.4,94.5,76.1,66.3,13.3
104,Castro Middle School,Georgia,Public,Elementary,10283.84,40.3,18.7,47.7,50.7,57.6,13.28
105,Perez Middle School,Florida,Public,High,8959.61,80.5,27.4,47.1,14.5,74.5,10.59
106,Dougherty High School,Florida,Private,Middle,14311.95,51.4,22.4,16.1,66.3,77.8,13.09
107,Allen High School,California,Charter,High,21306.52,95.5,20.2,59.3,60.5,89.2,9.69
108,Parker Elementary School,Michigan,Charter,Middle,6850.98,97.7,26.1,14.4,90.0,59.4,3.15
109,Davis High School,North Carolina,Private,Elementary,20832.55,80.4,21.1,23.5,64.7,91.8,8.99
110,Matthews High School,Pennsylvania,Charter,Middle,7203.75,67.1,22.2,65.0,49.4,58.6,14.9
111,Serrano Elementary School,Florida,Public,Middle,24516.83,61.5,11.0,85.7,63.4,65.9,6.46
112,King Elementary School,New York,Public,Middle,15111.72,92.0,25.9,35.5,25.5,55.5,10.84
113,Sandoval High School,Texas,Public,Elementary,21290.9,82.8,24.2,19.3,61.0,57.3,6.7
114,Mack Middle School,North Carolina,Charter,Middle,23726.88,49.6,14.1,36.1,35.0,79.2,4.69
115,White High School,Michigan,Charter,High,20476.62,91.7,14.3,70.9,52.8,92.3,5.09
116,Campbell High School,Michigan,Charter,High,23693.55,76.2,15.8,86.4,46.1,88.9,0.64
117,Williams Elementary School,Pennsylvania,Private,Elementary,17265.5,65.3,22.8,25.2,83.8,99.9,6.35
118,Lewis High School,California,Public,Middle,8966.89,66.3,13.7,40.8,92.6,87.4,2.32
119,Joseph Elementary School,Georgia,Public,High,23643.31,79.3,22.5,41.8,94.6,58.1,2.9
120,Romero High School,Texas,Private,Middle,8508.05,63.0,18.6,49.5,14.2,69.1,12.66
121,Acosta Elementary School,Georgia,Charter,High,22585.27,53.4,22.3,68.2,82.0,50.8,7.36
122,Miller High School,North Carolina,Charter,High,13726.37,82.4,12.6,47.3,21.4,72.2,9.77
123,Roth High School,Ohio,Public,Elementary,13895.47,51.5,21.3,35.7,84.8,66.1,8.48
124,Hardy High School,California,Public,Middle,24831.12,68.3,17.4,81.2,80.7,63.3,12.36
125,Salinas High School,Florida,Public,High,22279.35,65.4,16.1,58.7,58.7,72.7,6.94
126,Lawrence High School,Ohio,Private,Elementary,23941.09,64.2,28.1,56.5,26.8,52.8,2.52
127,Dennis Elementary School,Pennsylvania,Private,Middle,8738.09,63.4,24.9,93.7,39.8,69.5,13.04
128,Martin High School,Illinois,Public,High,8058.53,57.4,16.5,41.7,56.6,53.2,11.09
129,Bennett High School,North Carolina,Public,High,23776.86,53.7,20.4,45.4,11.0,55.3,11.02
130,Reid High School,Florida,Charter,Elementary,24278.72,40.2,12.4,33.1,56.4,72.6,3.67
131,Cunningham Elementary School,Texas,Private,Middle,21151.04,56.7,20.3,77.4,94.0,87.1,0.64
132,Collier Middle School,Ohio,Charter,High,8188.12,77.7,29.4,62.2,6.1,84.1,12.73
133,Wood Middle School,Pennsylvania,Charter,High,17062.45,45.6,23.0,77.9,21.1,50.4,12.71
134,Estes Middle School,New York,Charter,Middle,15863.7,76.5,14.9,63.9,80.4,58.3,11.9
135,Gregory Middle School,Texas,Private,High,21222.37,42.3,15.2,11.7,28.7,84.1,8.72
136,Mcknight Middle School,Texas,Public,Middle,8611.18,43.3,25.8,88.2,75.8,96.2,10.19
137,Rhodes High School,Georgia,Public,Elementary,22326.19,97.9,25.1,81.6,19.0,70.2,0.91
138,Anderson Middle School,Ohio,Charter,Elementary,15356.64,59.2,26.2,86.7,28.0,76.9,7.73
139,Bridges Middle School,California,Charter,High,6458.54,60.0,18.1,86.2,79.2,64.9,3.98
140,Kim High School,Ohio,Private,Elementary,11620.99,89.9,25.3,55.5,68.8,98.9,12.86
141,Fisher Elementary School,Michigan,Public,Elementary,22278.46,81.5,22.2,39.9,59.0,53.4,1.09
142,Williams Middle School,New York,Private,Elementary,20737.9,65.4,15.1,86.8,94.1,63.2,9.48
143,Martin Middle School,North Carolina,Private,Elementary,17928.65,83.8,26.1,36.3,19.6,56.0,7.57
144,Garcia Elementary School,Georgia,Private,Middle,19652.98,73.1,21.0,59.1,62.2,66.1,3.24
145,Summers Elementary School,Florida,Public,Middle,17131.1,86.1,12.4,84.1,47.6,76.5,11.83
146,Foster Elementary School,Florida,Charter,Middle,14572.64,98.5,15.5,78.9,58.9,56.9,3.88
147,Sandoval Elementary School,Michigan,Private,Elementary,24309.49,52.3,19.9,80.9,70.5,76.6,11.19
148,Sanders Middle School,California,Public,Elementary,7146.62,70.8,22.6,82.3,32.4,95.9,11.45
149,Cooper High School,Pennsylvania,Charter,Middle,19270.47,79.7,10.5,90.9,50.4,78.7,9.42
150,Cunningham High School,Florida,Private,High,12573.85,46.5,29.5,45.4,69.1,72.5,2.26
151,Lara Elementary School,Michigan,Private,Middle,9205.86,93.0,29.3,45.0,35.5,90.1,3.59
152,Newman High School,Illinois,Charter,Middle,23583.79,82.1,24.5,72.0,50.6,53.3,11.53
153,Friedman Middle School,California,Charter,High,18367.64,99.6,25.6,71.0,72.6,60.9,4.62
154,Ramos Middle School,Florida,Private,High,5445.04,70.0,18.4,58.1,41.4,65.1,6.09
155,Miller Elementary School,California,Public,High,17055.54,96.1,23.6,74.2,82.7,99.4,10.9
156,Wells High School,Florida,Charter,Elementary,24789.13,94.8,17.3,51.4,15.0,99.5,11.68
157,Carr Middle School,North Carolina,Public,Middle,23950.2,45.2,11.2,27.4,80.8,89.0,4.97
158,Richmond Middle School,California,Charter,High,14361.85,52.5,16.2,93.3,88.8,96.5,11.97
159,Hernandez High School,Pennsylvania,Public,Middle,20297.82,68.4,24.8,25.0,78.0,95.0,12.22
160,Williams High School,Ohio,Charter,Middle,9745.76,77.4,10.7,74.7,44.4,56.7,1.33
161,Vaughan Middle School,Georgia,Public,Middle,11671.8,44.1,29.8,77.7,13.8,94.5,13.24
162,White Elementary School,Pennsylvania,Private,High,19901.98,91.2,19.5,83.1,36.1,97.0,9.24
163,Kim Middle School,Ohio,Charter,Elementary,22207.53,48.2,14.9,70.8,63.5,80.7,14.24
164,Benton Elementary School,Florida,Charter,Elementary,9819.27,95.7,23.2,16.4,92.9,99.8,9.48
165,Smith Middle School,Georgia,Public,Elementary,14711.34,83.0,11.4,25.0,71.8,94.2,7.16
166,Smith Elementary School,Illinois,Charter,Elementary,19639.17,61.0,20.0,53.2,47.7,55.8,12.11
167,James Elementary School,North Carolina,Private,Middle,16003.49,58.0,27.3,66.6,83.7,56.9,12.62
168,Griffin High School,Georgia,Public,Elementary,22878.6,45.7,14.5,48.8,29.5,74.5,12.84
169,Mason Elementary School,North Carolina,Public,Elementary,11847.26,63.3,16.5,69.4,89.2,50.1,5.69
170,Clark High School,Texas,Charter,High,15464.38,89.5,12.2,21.6,41.8,93.7,1.84
171,Baker Middle School,California,Private,Middle,15304.36,80.4,28.3,34.1,36.1,88.6,4.77
172,Murphy Elementary School,California,Charter,High,24586.36,98.3,26.4,25.2,34.0,94.1,4.44
173,Copeland Elementary School,Pennsylvania,Public,High,11524.75,92.9,23.9,50.0,73.7,74.7,1.12
174,Valencia High School,Florida,Private,Elementary,17027.39,94.2,28.5,32.2,17.9,98.8,4.0
175,Willis High School,California,Charter,Elementary,24312.09,67.8,15.4,34.0,86.1,95.7,6.55
176,Montgomery High School,North Carolina,Private,Middle,12007.89,53.2,26.0,26.3,68.9,58.0,4.41
177,Wang Elementary School,Georgia,Public,Elementary,21233.23,68.6,16.6,22.0,69.9,73.1,12.77
178,Gardner Middle School,Georgia,Private,Elementary,22529.03,97.6,25.6,36.7,65.4,57.9,9.32
179,Keller Middle School,Michigan,Public,Elementary,11432.46,50.8,18.4,78.0,65.2,66.1,2.01
180,Reese Middle School,North Carolina,Private,Elementary,20022.97,67.1,20.0,41.0,67.3,78.3,14.49
181,Ali Elementary School,Michigan,Public,Elementary,14364.22,73.7,16.9,93.4,7.9,63.9,10.87
182,Flores High School,New York,Public,Elementary,11239.13,92.2,28.4,79.5,26.7,54.6,13.94
183,Davidson Elementary School,North Carolina,Charter,Elementary,19037.35,86.4,22.4,74.0,46.1,77.7,4.32
184,Chung Middle School,Ohio,Charter,High,10080.98,44.1,28.1,14.1,19.5,70.0,14.29
185,Fleming Elementary School,Georgia,Charter,High,13012.56,61.0,18.8,28.6,58.4,85.9,3.11
186,Howard Elementary School,Texas,Private,Middle,9283.35,83.7,28.3,20.1,55.2,79.6,11.51
187,Mcneil Middle School,Georgia,Charter,Elementary,18360.27,80.9,17.1,90.5,12.0,58.5,14.85
188,Riggs Middle School,California,Private,High,9145.94,86.6,21.4,85.4,74.3,81.2,6.86
189,Rivera Middle School,Georgia,Public,Elementary,19936.86,71.3,29.7,90.7,38.3,82.7,7.86
190,Hansen Middle School,New York,Charter,High,15596.42,90.4,15.1,83.5,25.5,81.4,10.85
191,Johnson Elementary School,Michigan,Private,High,19153.5,56.8,23.5,23.2,82.2,85.5,14.59
192,Harris Middle School,Texas,Public,High,21107.26,78.8,19.7,86.5,68.0,87.3,8.68
193,Moreno Middle School,California,Charter,Elementary,24558.03,62.5,16.7,92.0,62.3,79.9,14.07
194,Hughes Elementary School,Florida,Charter,Elementary,5940.64,59.9,13.7,53.4,39.4,87.1,8.19
195,Rodriguez High School,Florida,Public,Elementary,23919.94,73.7,28.3,19.3,36.7,50.7,10.64
196,Whitaker High School,Georgia,Public,High,11915.53,89.8,29.9,55.9,60.4,79.1,3.21
197,Peterson Elementary School,Florida,Public,Middle,17941.97,73.4,20.7,19.0,54.1,60.9,8.63
198,Herrera Middle School,Illinois,Public,Elementary,16233.73,88.4,26.4,40.4,43.4,71.2,12.31
199,Morris Middle School,North Carolina,Private,Middle,14673.39,49.3,11.9,59.1,82.0,69.1,10.79
200,Rodriguez Middle School,Georgia,Public,Middle,24699.08,54.8,17.4,65.5,49.0,79.1,5.37
201,Morris High School,Texas,Private,High,24394.93,53.5,19.0,23.3,80.1,81.6,12.1
202,Jennings Elementary School,North Carolina,Public,Middle,8665.12,85.3,23.8,90.7,92.7,61.1,4.24
203,Howell Elementary School,Ohio,Private,Middle,23743.27,73.7,28.0,46.7,19.3,52.3,1.19
204,Robles Elementary School,Georgia,Charter,High,18992.39,42.9,28.3,22.0,8.6,90.1,8.02
205,Hanson High School,Florida,Private,High,24125.34,80.4,20.5,71.3,9.7,69.9,5.13
206,Kidd Elementary School,Illinois,Private,High,9904.18,47.3,19.1,81.0,66.2,67.2,2.54
207,Collins High School,Texas,Public,High,11235.08,69.0,24.3,29.1,85.4,83.0,9.58
208,Freeman High School,California,Charter,High,6769.82,65.8,13.7,21.9,34.4,64.2,10.47
209,Taylor Elementary School,Texas,Private,Elementary,7955.0,68.3,15.1,66.7,9.0,78.5,13.0
210,Hernandez Middle School,Texas,Charter,Elementary,5077.03,87.7,15.4,70.6,50.7,67.8,13.33
211,Vance High School,Florida,Charter,Elementary,14544.25,93.3,20.9,64.1,17.3,64.4,13.08
212,Johnson High School,North Carolina,Private,High,22721.18,92.8,16.6,35.1,22.7,77.7,2.3
213,Smith Middle School,Illinois,Public,Middle,5908.09,90.9,25.3,89.1,24.4,56.6,1.18
214,Jones Elementary School,Florida,Private,Elementary,18000.5,69.5,10.5,80.4,68.1,89.6,1.76
215,Jackson Elementary School,Georgia,Charter,Middle,21737.44,71.6,12.3,77.6,37.3,88.0,9.58
216,Jones High School,Michigan,Charter,Middle,20653.06,57.2,11.6,55.3,51.2,51.5,9.0
217,Brown Middle School,New York,Private,High,12785.11,78.5,12.9,74.1,54.2,76.6,1.3
218,Salinas Elementary School,California,Private,High,16918.75,74.8,30.0,22.8,42.0,99.5,10.38
219,Gentry Middle School,Florida,Charter,Middle,24210.69,75.6,14.9,45.7,93.3,67.6,1.77
220,Murphy Elementary School,Florida,Public,Elementary,14601.12,54.5,18.2,71.7,70.1,69.7,5.24
221,Padilla Elementary School,Illinois,Public,Middle,12860.85,94.2,16.6,70.0,83.3,77.1,11.4
222,Gomez High School,Illinois,Private,Elementary,17205.66,73.4,14.9,64.0,21.0,81.1,3.52
223,Johnson High School,Michigan,Private,Elementary,22953.03,83.1,25.4,57.6,33.8,90.1,4.96
224,Atkinson High School,Michigan,Charter,High,9293.73,83.1,10.5,94.9,22.7,81.1,5.94
225,Whitehead High School,Texas,Charter,Middle,10283.75,80.0,19.5,44.9,55.1,78.9,8.27
226,Morgan Elementary School,Illinois,Public,Elementary,23849.9,55.3,27.2,63.7,32.1,75.6,3.65
227,Griffin High School,Illinois,Public,Middle,12601.78,93.0,19.1,90.8,48.5,84.1,5.02
228,Parker Elementary School,North Carolina,Charter,Middle,7991.43,80.4,12.2,14.0,29.3,78.2,6.81
229,Williams Middle School,Florida,Public,Middle,20918.3,48.3,23.6,68.8,11.8,83.9,13.13
230,Harper Elementary School,Illinois,Charter,Elementary,13852.19,41.2,10.6,13.5,42.8,62.6,4.82
231,Robertson Elementary School,California,Private,Elementary,23073.35,71.8,23.9,19.9,46.8,99.2,6.91
232,Martinez Elementary School,Illinois,Charter,Elementary,14567.8,77.3,16.6,20.4,76.8,62.3,8.54
233,Moore High School,Michigan,Charter,Middle,8480.82,77.5,25.6,36.5,78.5,74.1,10.69
234,Martinez High School,Florida,Private,High,14946.91,94.2,25.1,64.5,94.2,77.0,14.43
235,Meyer Middle School,California,Charter,Middle,7547.66,74.2,14.4,45.0,29.1,83.8,5.34
236,Reynolds Middle School,Florida,Public,Middle,22070.74,45.3,25.7,11.3,32.1,72.6,4.19
237,Jones High School,Pennsylvania,Public,High,22237.67,80.2,11.0,45.8,74.2,76.0,9.76
238,Pham Elementary School,Florida,Private,High,17741.01,65.4,29.2,79.9,27.6,51.7,7.89
239,Garcia Middle School,Illinois,Public,High,20007.31,43.7,20.2,42.3,45.4,97.7,7.79
240,Cantrell Elementary School,Michigan,Public,Middle,9137.27,45.4,14.9,28.3,82.7,64.4,13.57
241,Fleming High School,Texas,Private,Elementary,14936.28,43.9,18.6,80.6,75.6,68.3,13.45
242,Whitney Middle School,New York,Public,High,12748.31,91.4,22.6,10.5,8.7,62.1,4.35
243,Moran Elementary School,Michigan,Private,Middle,21663.2,88.5,19.7,81.3,20.7,67.8,5.35
244,Finley Middle School,New York,Private,Middle,8507.94,96.2,21.1,88.9,34.4,71.8,1.77
245,Jones Elementary School,Texas,Private,High,13648.08,73.2,26.4,83.7,49.8,88.8,1.22
246,Patton High School,Georgia,Private,Middle,5291.51,54.2,20.0,15.5,38.8,53.7,4.9
247,Carter High School,North Carolina,Charter,High,11431.13,72.0,29.3,68.4,31.9,53.3,2.88
248,Irwin Middle School,Ohio,Charter,High,18887.66,82.5,21.2,55.0,30.3,60.0,13.85
