id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent
249,Price Elementary School,Texas,Public,Elementary,6314.74,50.8,29.9,59.2,65.5,62.3,14.99
250,Obrien Middle School,California,Public,Elementary,17592.66,96.8,19.9,63.3,34.0,92.0,8.22
251,Hatfield High School,Georgia,Charter,Elementary,17849.84,67.1,17.8,90.8,44.3,61.4,8.36
252,Holden Middle School,North Carolina,Charter,Middle,8801.29,92.6,23.3,61.5,33.5,70.1,5.37
253,Cochran Middle School,Florida,Charter,Middle,17140.7,99.1,13.4,34.6,34.2,54.1,1.1
254,Oneill High School,Georgia,Private,Middle,7322.19,62.6,11.0,75.1,47.9,62.1,2.55
255,Sanchez Middle School,Florida,Private,Middle,18844.58,83.6,28.7,84.0,53.8,57.4,6.78
256,Nicholson Middle School,Georgia,Private,Elementary,21022.55,99.3,22.9,22.8,58.0,52.8,4.95
257,Cox Elementary School,Pennsylvania,Private,High,22150.69,59.2,20.9,44.6,59.6,72.5,10.34
258,Banks High School,New York,Public,Elementary,24465.35,51.2,20.1,49.8,89.1,67.4,8.94
259,Pitts High School,Ohio,Private,Middle,8791.72,87.6,16.7,31.3,43.3,81.3,3.37
260,Carr High School,Ohio,Private,High,13182.4,96.4,17.2,24.0,85.7,93.2,12.52
261,Carpenter Elementary School,Pennsylvania,Charter,Elementary,21550.7,96.8,18.3,54.0,31.6,93.1,1.63
262,Bell High School,Florida,Private,Middle,5999.14,90.2,24.7,94.6,66.4,88.6,9.75
263,Padilla High School,Georgia,Public,Elementary,13988.66,40.0,29.9,36.6,76.2,66.8,7.32
264,Jones Middle School,New York,Private,Middle,11222.47,58.2,26.2,88.3,5.0,63.9,6.19
265,Freeman High School,Ohio,Private,Middle,19274.69,64.5,10.2,39.6,27.2,50.5,10.54
266,Brady Elementary School,Florida,Charter,High,10844.0,65.8,14.0,33.9,60.7,53.9,5.7
267,Garcia High School,Pennsylvania,Private,High,20789.17,59.4,26.0,39.1,27.9,84.8,8.61
268,Potter High School,Texas,Charter,High,7448.87,71.1,18.2,12.6,40.1,84.6,12.01
269,Estes Middle School,Illinois,Charter,Middle,15829.16,96.0,28.3,59.4,69.3,97.5,11.9
270,Stephens Elementary School,Georgia,Charter,High,16062.64,75.8,25.4,26.9,23.1,92.2,4.9
271,Byrd High School,California,Charter,High,19678.43,65.0,11.7,84.5,59.5,84.4,5.14
272,Levine High School,Texas,Private,Elementary,15282.69,79.5,21.5,61.0,11.3,68.3,10.87
273,Hull High School,Texas,Public,High,24425.17,65.3,16.7,35.7,38.8,57.8,10.24
274,White Elementary School,New York,Public,High,6149.18,64.5,18.9,54.0,35.0,57.7,12.66
275,Elliott Elementary School,Illinois,Public,High,11520.02,80.8,23.3,18.5,27.8,81.0,9.5
276,Griffin Elementary School,Georgia,Private,High,20262.89,79.7,28.5,64.3,60.5,66.0,6.91
277,Hebert Middle School,Florida,Public,High,18872.89,67.7,28.9,30.5,89.3,58.8,1.17
278,Lewis Elementary School,California,Public,Middle,24559.37,99.1,17.8,10.5,22.1,71.7,4.78
279,Allen High School,Illinois,Public,Elementary,24562.36,88.2,22.2,43.0,80.3,97.0,12.83
280,Massey Middle School,North Carolina,Public,High,21311.28,60.7,15.3,79.6,17.8,85.0,3.63
281,Hebert Middle School,Pennsylvania,Private,Elementary,16352.07,44.1,19.1,75.7,42.1,98.2,9.7
282,Waters Middle School,Michigan,Charter,Elementary,22885.28,70.3,13.8,72.8,53.9,68.2,10.46
283,Parker Elementary School,Michigan,Private,Elementary,7701.85,89.4,12.8,90.8,74.7,63.4,4.5
284,Schmidt Middle School,Georgia,Private,High,12068.54,70.5,11.4,41.1,73.7,95.0,6.77
285,Andrews Elementary School,North Carolina,Private,Elementary,7969.77,42.2,17.8,31.7,50.8,87.8,12.29
286,Reyes Elementary School,Michigan,Charter,Elementary,20512.41,44.8,20.1,59.6,9.1,81.5,11.41
287,Dominguez High School,New York,Private,Middle,14502.9,94.1,17.4,71.2,35.0,88.0,11.86
288,Harris Elementary School,Georgia,Public,Middle,21551.1,85.9,17.7,50.1,82.3,71.1,1.98
289,Tapia Elementary School,California,Public,Elementary,23853.26,90.8,23.1,39.9,18.9,67.4,13.49
290,Khan High School,Illinois,Private,High,9111.61,50.0,19.4,61.5,6.0,96.9,13.6
291,Gray Middle School,Michigan,Public,Middle,11673.46,83.0,21.3,60.0,28.6,83.2,8.95
292,Williams Middle School,Illinois,Public,Elementary,13127.46,41.4,24.3,44.2,18.1,79.5,10.19
293,Medina Middle School,Illinois,Public,High,21162.97,77.3,20.8,87.5,20.2,67.4,13.83
294,Calhoun Middle School,California,Private,Middle,11836.51,63.7,10.4,66.7,55.5,54.3,8.9
295,Hutchinson Elementary School,California,Charter,Middle,8276.55,65.2,21.9,87.3,58.6,63.9,10.23
296,Harris Elementary School,North Carolina,Charter,High,12110.56,54.2,20.0,17.9,34.0,90.0,9.08
297,Wright High School,Georgia,Private,Elementary,20527.55,62.6,13.3,14.1,38.3,50.0,10.65
298,Roach Elementary School,New York,Private,Middle,13140.78,80.4,12.1,10.8,31.9,57.2,0.59
299,Ramirez Middle School,Texas,Private,High,17782.45,82.3,12.3,56.8,12.7,76.7,8.21
300,Silva Elementary School,New York,Public,Middle,12171.78,58.0,27.5,66.2,16.9,87.0,2.88
301,Guerrero Elementary School,Michigan,Private,Middle,12695.31,89.1,10.8,14.1,10.5,67.6,9.51
302,Riddle High School,North Carolina,Private,Middle,21610.2,61.9,26.4,86.0,31.0,51.0,12.42
303,Johnson High School,California,Public,High,15764.33,46.0,22.1,48.2,87.8,74.9,4.48
304,Harris Middle School,California,Charter,High,12538.27,42.4,19.9,86.9,38.5,55.5,12.93
305,Wilson Middle School,California,Charter,High,24536.61,50.6,10.8,82.7,29.4,66.4,2.99
306,Olson Elementary School,Pennsylvania,Private,Middle,10539.84,79.9,23.6,50.4,60.5,97.4,4.7
307,Foster Middle School,Texas,Public,Elementary,16076.69,78.5,13.7,89.6,82.6,54.5,5.85
308,Gonzalez High School,Florida,Public,Middle,10128.6,97.4,27.2,69.6,10.4,58.2,14.37
309,Barnett Elementary School,Pennsylvania,Public,High,7931.46,58.5,29.4,33.7,56.5,55.2,3.33
310,Rubio High School,Illinois,Charter,Middle,17503.49,54.9,24.3,48.0,90.8,92.8,13.15
311,Goodman High School,New York,Charter,Middle,19973.3,83.6,23.6,37.6,91.3,75.6,6.62
312,Rhodes Middle School,Florida,Private,Elementary,11543.91,61.8,27.5,69.1,85.5,53.1,13.2
313,Sims High School,North Carolina,Public,Middle,23996.5,67.0,25.1,78.5,31.5,60.2,6.12
314,Braun High School,Texas,Private,Elementary,7426.08,63.8,26.5,64.8,10.2,82.4,3.3
315,Jackson Elementary School,Illinois,Private,Middle,17805.95,98.7,19.2,29.0,11.5,85.8,3.45
316,Martin Middle School,Texas,Private,Middle,22758.08,85.7,12.0,67.3,85.3,61.2,11.85
317,Sherman Elementary School,New York,Charter,High,13924.4,91.3,23.5,26.7,89.2,68.5,14.17
318,Martin Elementary School,Illinois,Private,Middle,24900.18,77.9,11.2,81.6,32.9,64.9,4.67
319,May High School,Michigan,Charter,Elementary,16547.36,62.3,27.7,22.5,82.9,87.2,13.74
320,Jenkins Elementary School,Texas,Public,High,16369.69,47.1,28.0,74.1,93.7,83.0,13.02
321,Freeman Elementary School,Ohio,Public,Elementary,22970.99,43.3,11.0,27.3,59.4,67.2,14.54
322,Silva Middle School,North Carolina,Charter,Middle,15866.95,92.5,17.0,87.3,73.3,62.6,8.09
323,Phillips High School,Ohio,Charter,Elementary,19926.92,56.2,15.7,50.3,36.1,87.0,11.73
324,Wilkerson Middle School,Florida,Private,Middle,9436.07,65.5,10.7,84.9,34.6,80.1,7.54
325,Petersen High School,Florida,Private,Elementary,17606.55,89.9,22.5,63.3,54.7,66.7,14.54
326,Jones Middle School,California,Private,Middle,11431.38,59.6,14.3,29.1,54.7,84.5,4.82
327,Thomas Middle School,Illinois,Charter,High,6615.56,91.4,24.0,14.6,77.2,74.1,8.62
328,Rodriguez Elementary School,Georgia,Charter,Elementary,7840.1,97.5,27.3,24.2,31.3,70.5,10.65
329,Kaiser Elementary School,Georgia,Private,Middle,23855.36,60.6,27.0,26.9,56.3,64.8,2.73
330,Murphy Elementary School,California,Charter,Elementary,7337.24,65.2,10.7,52.0,78.4,74.4,1.96
331,Garcia Middle School,Michigan,Charter,Elementary,7191.61,61.1,16.6,20.8,73.6,75.5,9.43
332,Evans High School,Florida,Public,Middle,10008.7,98.1,24.3,76.8,69.8,76.8,4.55
333,White Elementary School,New York,Charter,Middle,12585.34,93.6,19.5,31.4,74.0,97.7,12.85
334,Horton Middle School,Georgia,Private,Middle,24975.1,77.2,26.3,41.8,80.2,95.7,3.75
335,Allen Elementary School,Georgia,Charter,Middle,12355.11,88.9,23.3,65.1,89.8,54.7,11.93
336,Moore Middle School,Texas,Public,High,10735.8,55.2,16.4,25.5,45.2,69.5,3.76
337,Bennett Middle School,New York,Private,Elementary,21513.68,91.2,19.4,80.1,58.1,68.3,4.76
338,Torres Middle School,North Carolina,Charter,Elementary,24744.42,65.7,17.6,62.2,26.5,66.7,8.82
339,Roberson Elementary School,Florida,Charter,High,7863.12,93.0,22.9,20.6,93.7,89.2,4.89
340,Gonzales Elementary School,California,Private,High,8029.51,54.6,15.1,51.6,21.5,88.5,3.56
341,Thomas Middle School,New York,Charter,Middle,21677.02,43.9,21.8,49.4,43.2,53.2,12.74
342,Koch High School,New York,Public,Middle,15428.27,93.9,23.4,14.2,51.6,54.5,9.74
343,Wilson Middle School,Pennsylvania,Charter,High,6706.94,93.9,23.1,54.1,14.5,50.9,11.68
344,Carter High School,Illinois,Private,High,16953.66,64.3,15.8,53.9,36.7,91.1,6.71
345,Hawkins Middle School,New York,Public,Middle,20499.45,59.5,27.3,45.7,14.9,71.6,11.29
346,Aguilar Middle School,Texas,Charter,Elementary,9576.73,73.9,29.5,64.2,94.7,67.8,8.55
347,Watkins High School,Illinois,Private,Elementary,9519.47,66.9,19.6,12.4,23.7,80.3,12.75
348,Clarke High School,New York,Private,Elementary,13690.34,94.9,15.7,52.4,43.1,78.7,4.61
349,Williams Middle School,North Carolina,Private,Elementary,15384.72,91.7,22.8,42.2,91.9,57.0,14.76
350,Walters Elementary School,Ohio,Charter,High,21119.96,52.4,20.6,29.0,9.5,82.6,8.85
351,Garza Middle School,Florida,Private,Middle,13186.67,45.1,14.3,44.1,70.5,75.3,4.83
352,Jordan Middle School,New York,Charter,High,23005.54,92.7,27.2,55.6,74.9,75.9,2.67
353,Harrington Middle School,New York,Public,High,15841.3,99.6,12.3,87.1,45.6,54.5,3.38
354,Vaughn High School,Texas,Charter,Elementary,16980.89,59.8,13.1,45.3,50.2,93.1,14.8
355,Kennedy Middle School,Texas,Charter,Elementary,8681.92,75.1,12.5,75.7,82.0,61.4,0.61
356,Atkinson High School,Pennsylvania,Charter,Elementary,19243.89,57.9,11.9,78.9,61.6,95.0,4.01
357,Smith Elementary School,Florida,Charter,High,15299.17,76.2,28.5,45.7,40.6,77.1,1.01
358,Hill Elementary School,North Carolina,Private,Middle,6010.14,40.5,11.4,27.8,68.1,85.4,2.64
359,Peters Middle School,Florida,Public,Elementary,17627.01,78.3,20.3,79.1,7.8,72.7,3.23
360,Daniels Elementary School,Texas,Public,High,8138.46,90.8,10.0,46.7,58.4,58.4,6.75
361,Rodriguez Middle School,Pennsylvania,Charter,Elementary,19989.33,90.1,22.8,64.6,55.0,97.8,5.91
362,Richardson High School,Florida,Charter,Middle,10907.56,54.7,13.9,27.5,26.1,60.0,13.28
363,King Elementary School,North Carolina,Private,Elementary,22092.54,42.2,18.3,52.7,64.0,63.9,3.9
364,Martin Elementary School,Pennsylvania,Charter,Elementary,6553.06,62.5,25.0,64.6,20.1,98.8,0.58
365,Calhoun Elementary School,Florida,Private,Elementary,10211.94,78.2,18.4,26.0,65.6,53.0,10.23
366,Williams Middle School,North Carolina,Private,Middle,19004.2,75.4,16.8,80.4,8.0,97.9,5.39
367,Leonard High School,Michigan,Private,Elementary,15041.45,61.4,14.9,87.3,13.9,90.4,12.47
368,Ortiz Elementary School,California,Public,Middle,22238.67,97.6,19.3,22.9,20.0,59.9,12.4
369,Kim Elementary School,California,Private,High,19546.93,68.4,19.6,48.4,5.1,52.7,5.42
370,Boyer High School,North Carolina,Private,Elementary,24695.63,44.2,25.0,89.7,64.6,83.9,4.26
371,Frey Elementary School,Illinois,Public,High,23087.27,79.1,29.2,37.1,87.4,79.0,13.45
372,Ayala High School,North Carolina,Public,Middle,6551.14,57.6,29.6,94.5,19.9,94.4,6.9
373,Pierce Elementary School,Ohio,Private,Middle,24121.65,54.0,16.2,53.8,73.9,83.4,4.59
374,Cross High School,California,Private,Elementary,7506.27,66.9,29.2,68.3,18.6,85.7,8.49
375,Hawkins Middle School,Texas,Charter,Middle,24734.07,49.2,19.3,30.9,32.9,75.8,7.96
376,Larsen Middle School,New York,Charter,Middle,5780.51,66.1,19.5,23.5,27.0,54.4,10.41
377,Marshall Elementary School,New York,Private,Middle,24350.94,46.5,10.2,74.9,35.2,61.3,2.41
378,Thompson High School,California,Public,Elementary,9744.0,86.4,11.8,34.0,74.4,58.2,5.5
379,May Elementary School,Pennsylvania,Private,Elementary,11062.64,61.2,25.5,85.8,92.8,54.8,12.72
380,Holt Elementary School,Ohio,Public,Middle,6635.26,63.8,11.1,72.2,28.6,97.1,8.77
381,Blair High School,Florida,Private,Elementary,19143.43,81.4,25.2,16.3,78.2,65.3,6.58
382,Davis High School,New York,Public,High,19629.29,62.7,19.9,70.8,63.2,51.5,6.38
383,Pierce Elementary School,Texas,Charter,Middle,21859.29,80.7,29.4,78.8,9.5,62.1,9.99
384,Hayes Middle School,New York,Public,Middle,17394.22,80.7,19.8,42.6,67.2,96.6,14.08
385,Ortiz High School,North Carolina,Public,High,18804.99,84.7,18.1,18.1,58.0,86.1,11.25
386,Mays High School,Texas,Public,Middle,23706.87,58.0,18.5,75.3,84.2,53.9,5.77
387,Stafford High School,New York,Public,Elementary,20202.08,55.5,19.1,69.3,58.6,86.0,4.78
388,Strong High School,Georgia,Public,Elementary,23317.95,46.0,19.8,90.4,18.7,97.9,0.7
389,Williams High School,Texas,Public,Elementary,5921.11,82.5,28.1,55.7,91.2,82.0,13.51
390,Martinez High School,Florida,Charter,Middle,7665.8,49.5,26.6,88.7,67.3,65.4,8.84
391,Vargas Elementary School,Texas,Private,Elementary,7186.42,98.2,17.9,29.3,48.0,86.2,11.34
392,Ross High School,North Carolina,Private,Elementary,13260.81,91.3,13.9,86.7,83.1,54.5,6.11
393,Hernandez Elementary School,Pennsylvania,Charter,Middle,20641.58,66.8,27.6,89.4,16.2,51.9,10.68
394,Nunez Elementary School,Texas,Public,Middle,22357.18,57.0,23.4,45.5,36.6,93.8,2.97
395,Harris Middle School,North Carolina,Charter,Elementary,12591.91,91.4,12.8,41.0,73.7,63.8,6.01
396,Flores Middle School,Pennsylvania,Charter,Middle,24239.13,72.2,14.1,39.6,35.8,71.3,3.18
397,Newman Middle School,Texas,Public,High,18376.59,48.1,10.7,39.2,45.1,70.6,4.38
398,Smith Middle School,Georgia,Public,Elementary,17773.08,57.5,26.5,94.2,67.2,89.4,2.44
399,Butler High School,California,Private,Elementary,5157.76,54.1,15.2,34.8,68.7,74.4,12.29
400,Brown High School,Florida,Private,High,22595.3,91.3,23.7,71.6,67.4,60.5,6.23
401,Mitchell Elementary School,Pennsylvania,Private,High,22415.37,81.9,25.0,34.1,55.1,50.9,10.23
402,Myers Elementary School,Pennsylvania,Private,High,17933.4,99.8,29.1,87.5,84.7,64.7,6.74
403,Harper Elementary School,Pennsylvania,Private,Elementary,23525.49,86.6,28.5,55.2,55.1,80.8,3.57
404,Shaw Elementary School,New York,Charter,Elementary,13771.92,59.3,28.3,47.2,11.1,52.4,14.71
405,Buckley High School,Georgia,Charter,Middle,18430.67,61.3,15.8,78.3,28.8,67.8,5.58
406,Campbell Middle School,North Carolina,Public,Elementary,18879.04,77.1,11.9,73.1,25.6,68.7,12.39
407,Bradford High School,Florida,Charter,High,13166.72,47.8,29.1,93.7,6.5,50.9,5.98
408,Garcia Middle School,Ohio,Private,High,9050.24,54.9,25.1,90.0,40.3,68.9,2.38
409,Martin Middle School,New York,Public,High,13491.54,80.3,24.4,42.0,16.0,84.9,6.14
410,Meyer Middle School,Ohio,Public,High,16080.11,43.5,28.5,39.1,74.7,91.0,12.74
411,Carney High School,Georgia,Charter,Middle,14305.94,49.8,12.8,91.3,68.3,95.6,12.74
412,Duke High School,North Carolina,Charter,Middle,24779.02,86.0,14.9,91.4,43.1,74.3,9.81
413,Gardner Middle School,Michigan,Charter,Elementary,9735.4,72.4,28.7,31.1,39.4,71.6,7.57
414,Ramirez Elementary School,Illinois,Private,High,13679.75,49.5,17.3,82.2,78.7,70.2,10.07
415,Strickland High School,Georgia,Public,High,23327.88,49.4,19.0,40.7,46.1,87.1,4.21
416,Huynh Elementary School,New York,Public,Elementary,19734.53,94.7,25.2,48.1,34.0,86.0,0.56
417,Gordon Elementary School,Illinois,Charter,Elementary,9063.65,49.1,21.8,20.7,22.2,53.8,3.7
418,Romero Elementary School,Florida,Charter,High,19745.31,85.4,17.8,39.1,10.3,86.3,0.78
419,Davis High School,Florida,Private,Middle,13401.04,49.6,24.8,54.2,30.7,65.2,2.1
420,Christensen Middle School,Michigan,Private,Elementary,6853.48,59.7,18.3,25.7,84.7,98.4,6.11
421,Guzman High School,Ohio,Private,Middle,9776.23,62.0,15.2,77.2,51.4,57.7,1.57
422,Bowman High School,Georgia,Public,Elementary,10646.73,81.3,28.1,87.8,38.5,59.4,14.9
423,Wise Middle School,North Carolina,Private,High,6642.31,84.4,20.4,64.8,54.2,91.9,7.56
424,Pena High School,Pennsylvania,Private,Elementary,5934.75,56.1,19.4,13.8,91.9,75.3,12.17
425,Farley Middle School,Illinois,Private,Middle,8232.3,92.4,23.6,73.0,86.0,68.6,3.89
426,Pena High School,Michigan,Private,Elementary,5362.72,46.2,13.5,43.7,91.3,73.5,10.9
427,Morton High School,California,Private,High,10439.06,60.8,23.0,41.6,55.2,92.0,8.51
428,Dyer Middle School,New York,Private,High,14084.19,92.0,23.6,50.7,64.2,60.4,13.87
429,Anderson Middle School,Illinois,Charter,Middle,20069.05,44.7,17.4,70.6,45.2,55.6,8.27
430,Shields Middle School,Illinois,Charter,High,15835.24,61.6,29.7,47.1,54.4,84.4,7.42
431,Wilson High School,Illinois,Charter,Elementary,17667.6,46.1,26.9,44.5,10.9,59.8,11.21
432,Rios Middle School,Georgia,Public,Middle,6600.83,81.2,14.8,90.4,61.3,96.7,3.76
433,Bryan Elementary School,Florida,Charter,Elementary,7578.83,40.4,13.3,52.2,47.8,95.5,13.16
434,Thompson High School,Georgia,Charter,High,14062.74,73.6,23.1,81.2,66.3,79.7,7.6
435,Morales Elementary School,Texas,Private,Elementary,8197.86,58.1,21.3,94.7,32.1,98.1,12.22
436,Smith High School,California,Public,Middle,12553.16,100.0,23.5,84.0,31.0,90.3,9.02
437,Riley Elementary School,Illinois,Charter,High,22718.72,90.7,16.0,36.9,74.2,69.5,3.05
438,Johnson High School,California,Public,Middle,5918.98,95.4,16.0,92.3,94.0,51.9,0.87
439,Hart Middle School,Georgia,Private,Middle,24981.9,44.1,28.4,75.9,13.0,78.4,0.65
440,Mckinney Middle School,Pennsylvania,Private,High,10686.95,64.0,29.7,91.1,51.5,74.9,3.63
441,Lane High School,Florida,Public,Middle,21661.84,97.5,17.5,84.5,44.6,93.5,14.82
442,Vazquez Elementary School,Pennsylvania,Charter,High,11144.58,57.6,13.4,59.7,51.1,64.9,12.35
443,Oconnor Elementary School,North Carolina,Public,High,12468.53,71.7,16.5,63.1,14.0,56.6,9.27
444,Yates Elementary School,North Carolina,Public,Middle,17295.27,45.7,21.1,86.8,38.7,88.2,12.39
445,Herrera High School,Texas,Private,High,17924.69,68.6,22.8,10.3,42.8,50.4,7.36
446,Carroll High School,New York,Charter,High,5126.28,99.2,24.6,91.1,14.5,99.5,11.58
447,Raymond Elementary School,Ohio,Charter,Elementary,16813.75,68.9,26.5,59.9,18.7,93.1,13.45
448,Swanson Elementary School,Texas,Public,Elementary,6020.51,88.2,26.6,34.2,90.2,76.5,6.6
449,Hill High School,Florida,Public,Middle,24406.3,71.7,12.3,27.7,22.7,78.1,5.73
450,Hunt Elementary School,Florida,Charter,Middle,12617.67,90.0,24.4,57.0,32.7,76.9,12.0
451,Moss High School,Florida,Charter,Elementary,9099.77,86.2,24.5,66.2,63.0,60.5,9.35
452,Cunningham High School,Georgia,Charter,Elementary,8154.29,94.5,19.2,89.6,60.2,74.4,12.29
453,Green Middle School,North Carolina,Private,Middle,8569.4,96.3,24.9,65.5,65.7,89.3,9.56
454,Anderson High School,Pennsylvania,Charter,Middle,10250.37,51.3,20.6,24.8,45.1,87.7,3.58
455,Dennis High School,Ohio,Charter,Middle,23348.72,93.1,28.9,19.3,19.9,97.1,1.26
456,Bishop Middle School,Ohio,Public,Middle,10539.69,44.7,27.2,14.6,44.0,57.5,0.66
457,Mcdowell Elementary School,Ohio,Private,Elementary,15418.75,84.0,26.4,48.4,53.7,67.6,11.59
458,Gibson High School,Georgia,Public,Elementary,7251.77,94.9,10.8,20.0,59.8,69.4,12.78
459,Thompson High School,Pennsylvania,Public,High,23647.13,96.6,27.4,89.2,89.8,91.2,5.39
460,Mckee Middle School,Texas,Charter,Elementary,7314.17,47.2,13.9,52.4,55.0,66.3,14.15
461,Thomas Elementary School,New York,Charter,Middle,22980.07,58.4,19.1,80.9,53.8,96.3,3.37
462,Copeland Middle School,California,Private,High,5928.37,96.8,21.4,87.3,22.8,88.9,9.67
463,Potts Middle School,Texas,Public,High,20838.57,90.4,23.7,70.2,37.6,80.1,8.73
464,Lee Middle School,Florida,Private,Middle,24491.68,58.7,26.2,45.6,84.2,62.7,6.09
465,Woodard High School,Michigan,Private,Elementary,20753.33,70.2,21.6,19.0,40.5,77.8,5.58
466,Lambert High School,Georgia,Private,High,21795.7,93.5,16.2,77.6,57.9,64.2,5.68
467,Kelly Elementary School,Ohio,Private,Elementary,19612.89,47.3,19.8,35.9,57.3,52.7,10.15
468,Richard Elementary School,North Carolina,Public,Elementary,7243.24,41.1,13.1,29.5,86.2,88.4,11.96
469,Lowe Elementary School,New York,Public,High,19831.89,58.3,16.8,89.4,94.7,78.1,0.67
470,Mitchell Elementary School,Georgia,Charter,Elementary,24895.76,62.8,15.3,10.3,9.0,78.4,0.66
471,Campbell High School,New York,Charter,Elementary,16600.84,82.3,18.8,76.7,76.1,98.5,14.69
472,Carr Middle School,California,Charter,Middle,12509.36,59.2,26.8,18.8,58.8,50.5,4.81
473,Carroll Elementary School,Illinois,Charter,Elementary,7138.51,50.9,17.9,94.5,76.3,80.8,2.63
474,Smith Elementary School,Florida,Public,High,15009.82,83.1,27.2,46.8,41.4,58.0,7.91
475,Rodriguez Elementary School,New York,Charter,Elementary,11528.83,46.7,30.0,66.8,73.4,76.1,14.32
476,Giles Elementary School,Michigan,Public,High,11140.85,67.8,10.1,45.8,36.8,99.7,8.35
477,Lopez High School,Michigan,Public,Elementary,8813.09,80.3,10.1,58.1,32.2,81.4,7.0
478,Villa High School,Texas,Public,Elementary,8649.96,96.4,21.1,44.0,51.0,80.6,6.3
479,Guerra Middle School,North Carolina,Public,High,23683.21,56.6,11.3,36.6,6.1,81.8,2.71
480,Jones Elementary School,Ohio,Private,High,23284.76,51.4,28.3,11.4,88.4,97.4,6.56
481,Lee Elementary School,Texas,Public,High,7012.78,95.8,21.0,29.2,58.1,57.4,2.63
482,Bell High School,Florida,Public,Elementary,15823.87,85.3,19.3,18.8,39.5,81.4,5.12
483,Jackson Elementary School,North Carolina,Public,High,22386.16,71.2,19.0,46.3,7.2,87.6,6.46
484,Castro Elementary School,North Carolina,Private,Middle,8362.24,59.1,11.1,25.4,86.2,72.3,7.54
485,Patterson Elementary School,Ohio,Private,Middle,18853.83,97.9,25.8,30.3,32.2,85.4,5.19
486,Rice High School,Illinois,Private,Elementary,7230.65,63.3,22.6,13.3,68.8,93.6,7.7
487,Turner High School,North Carolina,Charter,Elementary,6176.17,61.3,28.2,74.9,88.8,90.2,5.2
488,Hayes Middle School,Illinois,Private,High,10128.18,77.9,21.1,88.2,64.8,93.2,10.18
489,Suarez Middle School,Ohio,Charter,High,8257.66,55.5,25.8,77.5,87.4,56.4,13.16
490,Baker High School,New York,Private,Middle,8014.98,60.0,11.8,76.8,41.9,65.5,0.64
491,Fernandez High School,Ohio,Private,High,16179.94,73.3,15.3,19.3,49.4,83.8,12.47
492,Hogan Elementary School,Illinois,Private,Middle,5883.7,90.1,23.7,10.2,68.3,94.4,13.19
493,Santana High School,Texas,Private,High,9716.5,46.7,17.1,80.0,24.0,52.7,14.28
494,Miller Middle School,Illinois,Public,Elementary,10442.89,98.5,21.9,12.6,34.3,80.4,4.38
495,Smith Elementary School,New York,Charter,Middle,9316.56,47.3,10.8,52.6,7.6,77.6,3.24
496,Jones High School,Illinois,Charter,Middle,22737.04,79.2,10.4,75.6,41.8,56.1,3.63
497,Gonzales Middle School,New York,Charter,High,20071.1,66.7,23.9,22.5,81.8,91.7,11.29
498,Green High School,New York,Public,High,7215.76,77.2,28.0,48.7,48.4,86.4,4.23
