id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent
750,Dean Elementary School,Florida,Private,Middle,19137.66,53.8,10.7,94.1,81.6,93.4,13.48
751,Morton Middle School,Ohio,Charter,Middle,6434.33,93.8,26.8,72.9,45.3,79.0,1.19
752,Hernandez Elementary School,North Carolina,Private,High,6293.02,43.7,29.2,53.7,23.1,95.1,3.26
753,Williams Elementary School,North Carolina,Private,High,16756.21,98.5,26.2,47.4,70.6,80.6,6.16
754,Pineda Elementary School,Ohio,Charter,Elementary,12068.6,88.6,16.6,46.6,41.9,99.9,14.72
755,Ramirez Elementary School,Florida,Private,Elementary,11967.01,87.1,26.7,84.8,13.0,89.6,3.82
756,Rodriguez Middle School,Texas,Charter,High,20136.95,64.9,17.5,25.9,68.1,92.4,11.28
757,Rodriguez Elementary School,Florida,Public,High,16615.54,43.2,24.7,59.1,84.3,68.1,4.68
758,Bates High School,Michigan,Private,Elementary,7551.26,47.9,12.4,73.1,16.1,59.0,10.38
759,Barnes Middle School,Texas,Public,High,5012.97,48.5,12.2,70.1,19.5,77.0,2.72
760,Hawkins Middle School,Texas,Public,Elementary,5992.29,78.2,23.8,44.8,38.7,66.7,10.17
761,Mitchell Middle School,Pennsylvania,Charter,High,21954.31,92.9,16.4,10.2,46.0,69.5,8.81
762,Williams Middle School,Texas,Public,Elementary,10604.13,84.3,29.9,11.1,35.1,66.8,7.4
763,Daniel High School,Michigan,Private,Elementary,10374.24,46.2,12.3,68.6,38.0,99.9,5.36
764,Barker Middle School,Texas,Private,Elementary,20259.76,92.9,13.1,75.3,89.9,63.8,7.55
765,Taylor Middle School,Ohio,Charter,Middle,21980.48,44.2,12.5,70.8,6.8,91.2,7.59
766,King High School,New York,Public,Middle,15695.71,56.9,17.2,49.4,83.3,98.1,4.39
767,Vaughn High School,North Carolina,Public,Elementary,15299.65,58.7,10.9,72.7,11.2,66.1,10.59
768,Campbell Elementary School,North Carolina,Public,Elementary,12561.65,82.2,28.8,25.9,62.4,67.0,11.0
769,Smith High School,Texas,Public,Elementary,19044.08,48.0,12.4,88.0,16.3,61.4,7.34
770,Bartlett Elementary School,Florida,Public,High,9315.84,85.5,19.8,22.7,52.2,52.6,6.27
771,Fields High School,Michigan,Charter,High,5284.34,85.3,14.3,93.3,76.9,83.9,10.89
772,Salinas Elementary School,Florida,Charter,Middle,11150.33,62.2,23.3,21.4,65.6,75.3,5.95
773,Barrett Middle School,Ohio,Public,Elementary,20194.4,67.6,17.0,54.4,59.2,68.7,3.58
774,Martin Elementary School,Georgia,Public,Middle,24698.58,91.0,29.4,32.8,18.0,59.8,8.17
775,Coleman Elementary School,Texas,Charter,Middle,18756.66,46.3,18.3,77.2,8.2,73.3,10.54
776,Frazier Middle School,Florida,Private,Middle,18537.68,59.3,10.6,67.6,89.8,91.8,3.52
777,Pope Middle School,Texas,Charter,High,18634.95,76.5,11.4,49.0,75.9,92.8,1.48
778,Price High School,Georgia,Charter,Elementary,13650.99,51.7,16.6,36.6,40.5,75.8,12.28
779,Soto Elementary School,Texas,Public,High,14749.42,79.0,16.1,57.5,20.6,73.9,0.74
780,Carpenter Elementary School,Texas,Private,Middle,15301.67,74.2,14.3,24.2,45.5,63.5,1.22
781,Smith Elementary School,Georgia,Charter,Elementary,14688.29,70.5,11.5,87.7,13.5,97.1,4.87
782,Bennett Elementary School,Florida,Private,High,20599.08,84.8,27.1,59.6,28.3,82.3,4.66
783,Ward Elementary School,Illinois,Private,Middle,21072.23,95.7,16.3,52.9,88.5,76.0,8.53
784,Scott High School,Illinois,Public,Middle,14402.65,96.6,14.8,27.1,13.2,70.5,12.19
785,Lopez High School,Texas,Private,Elementary,6490.93,48.0,14.0,81.8,51.5,84.5,14.78
786,Adams Elementary School,Georgia,Public,Elementary,17372.59,45.0,25.4,66.8,41.6,71.8,1.74
787,Sherman Elementary School,Michigan,Public,High,14834.83,57.5,12.4,62.3,90.5,67.5,2.96
788,Nguyen Elementary School,Illinois,Private,High,11838.63,60.6,24.8,87.9,92.9,92.3,14.71
789,Francis Elementary School,Georgia,Charter,Elementary,5292.17,65.4,21.1,71.4,16.2,68.6,11.15
790,Johnson Middle School,Michigan,Private,Elementary,13184.84,78.1,14.6,49.7,60.0,73.5,5.94
791,Davis High School,Pennsylvania,Charter,High,24807.06,44.4,17.6,25.4,56.7,59.4,14.65
792,Garcia Middle School,Pennsylvania,Charter,Middle,18513.04,42.7,24.2,19.4,64.2,54.2,7.68
793,Mcbride Middle School,Ohio,Public,High,10827.48,54.7,10.9,50.1,70.8,73.5,8.61
794,Peterson Middle School,North Carolina,Public,Elementary,10617.23,42.0,19.6,62.3,93.4,97.5,7.51
795,Walker Elementary School,Georgia,Public,Elementary,14245.78,62.1,21.6,78.9,27.5,68.7,4.15
796,Robles Middle School,Georgia,Public,Elementary,22130.92,70.5,25.6,32.1,13.9,50.7,3.27
797,Kelly Middle School,California,Public,Middle,10080.15,57.4,16.8,60.6,40.2,95.4,1.21
798,Jones High School,Pennsylvania,Public,High,12233.55,66.7,22.2,91.2,39.4,56.6,1.04
799,Reeves High School,California,Charter,Elementary,9228.96,82.4,13.2,32.4,33.5,91.0,4.86
800,Wilson Middle School,Illinois,Private,Middle,6616.41,84.5,20.3,60.9,77.1,78.7,13.7
801,Coleman Elementary School,California,Charter,Elementary,8097.28,98.3,24.3,73.5,39.1,65.9,5.01
802,Donaldson Elementary School,Michigan,Charter,High,17521.06,40.8,20.6,66.7,8.4,60.3,10.88
803,Patton High School,Florida,Public,Elementary,21347.79,47.8,14.6,33.3,71.4,78.1,10.77
804,Cross Middle School,North Carolina,Private,High,12504.64,42.5,29.1,55.6,18.0,94.3,12.98
805,Oliver Elementary School,Texas,Charter,High,8727.32,61.6,13.7,75.8,18.3,68.7,7.8
806,Wilkinson Elementary School,Pennsylvania,Charter,High,5028.53,75.3,26.1,11.9,63.4,64.2,13.34
807,Reynolds High School,New York,Private,Middle,20641.87,99.5,14.0,51.6,88.2,86.2,14.24
808,Bonilla High School,California,Private,Middle,7479.13,74.7,13.0,70.2,30.8,89.6,13.99
809,Guzman Middle School,North Carolina,Private,Elementary,24000.94,93.1,24.6,54.9,41.5,82.5,1.02
810,Davis High School,Michigan,Charter,Middle,20185.79,98.0,13.6,57.6,68.6,65.0,12.3
811,Stephens High School,Georgia,Public,Middle,15817.99,56.9,13.6,28.8,91.1,75.2,11.74
812,Jones Elementary School,Michigan,Public,Middle,7174.01,80.2,22.9,63.1,46.2,98.5,5.8
813,Foster High School,Michigan,Private,Middle,23419.35,52.3,19.0,37.0,11.2,56.6,2.69
814,Johnson Middle School,Illinois,Private,High,12704.62,42.7,21.0,63.7,32.6,53.2,9.62
815,English Middle School,Illinois,Private,High,8405.16,50.9,22.6,88.7,94.9,91.6,5.58
816,Hansen High School,Michigan,Private,Elementary,16344.78,41.5,14.0,87.3,74.8,57.4,8.4
817,Williams High School,Georgia,Public,Middle,18579.7,49.8,25.4,69.7,83.4,82.4,6.63
818,Moore Elementary School,North Carolina,Charter,Elementary,6709.35,61.8,12.5,64.4,69.3,77.9,6.65
819,Hughes Elementary School,California,Charter,High,7680.31,81.9,13.3,62.9,67.6,50.8,2.8
820,Rivers Middle School,Georgia,Charter,Middle,17958.56,76.8,25.3,35.5,56.6,83.6,7.44
821,Bright Middle School,Pennsylvania,Charter,High,11358.76,56.8,29.8,20.0,55.0,64.5,14.72
822,Fuller Elementary School,Texas,Charter,Middle,9948.5,83.6,25.2,31.0,42.0,74.7,11.97
823,Craig Elementary School,Ohio,Private,Middle,18648.87,41.0,29.9,12.2,52.4,96.6,1.01
824,Hernandez Elementary School,Florida,Private,Elementary,18473.37,88.1,11.3,45.9,36.6,65.1,11.18
825,Johnson High School,Florida,Public,Elementary,18820.76,44.9,12.0,44.9,30.3,52.5,11.29
826,Perry Middle School,Georgia,Public,High,15399.8,66.0,18.0,11.7,85.3,55.8,11.24
827,Spears High School,California,Private,High,20844.2,94.8,12.7,65.4,53.8,83.7,1.58
828,Beltran Middle School,Ohio,Public,Middle,17323.96,88.6,14.3,32.1,64.4,83.3,0.94
829,Turner Middle School,New York,Charter,High,6507.51,71.2,18.1,15.0,60.1,74.5,8.54
830,Levine High School,Pennsylvania,Private,Elementary,5182.94,70.5,26.2,25.8,69.3,65.5,14.12
831,Saunders High School,California,Public,Middle,18054.73,98.1,21.6,66.3,24.9,81.9,11.13
832,Proctor High School,Michigan,Charter,Elementary,17070.06,71.8,15.6,17.7,78.8,75.9,4.94
833,Kerr High School,Ohio,Charter,High,18410.36,52.2,25.6,63.4,66.1,76.5,12.78
834,Williamson Middle School,California,Public,Middle,20255.19,47.2,24.0,41.0,43.1,75.9,7.94
835,Medina Elementary School,Pennsylvania,Public,Elementary,6038.48,47.4,17.1,77.8,64.7,75.1,9.29
836,Barajas Elementary School,Texas,Private,Elementary,13203.13,71.9,28.7,58.4,11.5,55.4,12.24
837,Reynolds High School,Michigan,Charter,Middle,9151.9,89.0,17.4,68.9,86.5,58.1,4.79
838,Collins Elementary School,New York,Private,Middle,23248.31,75.2,25.8,94.9,73.9,65.2,6.15
839,Sherman Middle School,Georgia,Charter,High,10382.46,55.9,28.8,32.8,82.2,96.4,10.14
840,Morgan High School,North Carolina,Public,Elementary,13427.71,79.6,26.4,63.6,16.8,52.4,7.65
841,Patton Elementary School,Ohio,Charter,Elementary,21123.49,54.7,20.5,31.9,57.9,54.2,8.67
842,Combs Elementary School,California,Public,Elementary,12236.77,41.5,13.9,79.6,57.7,84.3,1.66
843,Yang Middle School,Florida,Charter,High,5628.65,81.1,21.8,26.5,53.2,52.5,13.45
844,Campbell Elementary School,Pennsylvania,Public,Elementary,19360.48,61.6,23.2,11.1,60.8,95.3,5.54
845,Baxter Elementary School,Texas,Public,Elementary,12502.42,80.4,27.9,64.6,71.3,67.7,2.53
846,Manning High School,California,Public,Middle,11117.09,77.7,12.4,79.3,10.7,88.5,3.54
847,Evans Middle School,Pennsylvania,Public,Elementary,7815.52,46.6,15.6,65.5,46.9,96.9,4.38
848,Green Elementary School,Michigan,Public,Middle,6321.66,50.2,11.1,66.3,19.3,77.2,5.63
849,Ford Elementary School,California,Public,Elementary,24000.27,57.3,28.0,20.4,58.4,98.1,5.45
850,Greene Middle School,New York,Charter,Middle,17863.23,89.8,28.5,92.9,81.2,84.8,14.43
851,Hardin High School,Florida,Public,Elementary,12750.15,81.6,28.0,92.9,25.6,71.4,11.39
852,Zimmerman Middle School,New York,Private,Middle,20593.34,96.8,15.8,37.2,22.2,73.2,5.81
853,Brooks High School,Texas,Charter,Middle,7349.01,56.3,22.0,81.7,17.9,61.5,2.54
854,Gutierrez Elementary School,Pennsylvania,Charter,Middle,19922.05,63.8,18.6,69.8,65.1,50.8,7.39
855,Gonzalez High School,Illinois,Charter,Elementary,20346.75,66.1,23.7,28.5,54.8,76.1,7.6
856,Green Middle School,Ohio,Public,Middle,11147.97,48.9,28.2,22.2,47.9,96.7,13.84
857,Lin Elementary School,Ohio,Private,Elementary,7505.28,61.2,23.5,74.4,90.7,65.3,7.19
858,Glass Middle School,Texas,Private,High,9729.22,96.8,27.0,34.9,60.7,58.4,10.91
859,Smith High School,Michigan,Private,High,13447.18,52.7,24.6,81.8,75.1,54.3,7.23
860,Bell Middle School,Illinois,Charter,Middle,9377.88,98.7,18.6,64.3,7.5,56.6,3.21
861,Simon Elementary School,Ohio,Public,High,21710.98,93.2,16.8,86.6,33.4,73.2,14.5
862,Parker High School,North Carolina,Private,High,15871.92,76.3,22.6,41.0,41.5,91.9,10.31
863,Griffin Middle School,Texas,Charter,Middle,9859.65,84.5,13.0,22.7,52.5,77.2,0.68
864,Hughes Elementary School,Michigan,Private,High,7493.49,81.1,21.2,62.7,17.8,76.2,4.04
865,Brock Middle School,Illinois,Public,Middle,7053.01,43.3,17.6,18.4,42.5,86.7,3.39
866,Martin Elementary School,Pennsylvania,Private,Middle,5145.76,94.3,19.7,48.3,68.2,60.8,11.2
867,Casey Middle School,Illinois,Public,High,14079.89,89.1,22.4,84.9,66.2,92.3,3.72
868,Acevedo Elementary School,Texas,Public,Middle,21953.97,73.5,20.8,62.2,18.0,68.4,5.83
869,Goodwin Elementary School,Ohio,Public,Middle,5409.79,43.2,12.4,82.5,36.6,58.2,7.95
870,Torres Middle School,Texas,Public,High,9310.7,43.1,22.5,64.7,7.5,55.4,11.89
871,Foster Middle School,Texas,Private,Middle,6262.58,47.4,13.4,56.3,66.9,81.2,5.99
872,King High School,Michigan,Private,Elementary,10171.44,56.0,10.3,39.2,24.3,92.5,14.85
873,Allen High School,Pennsylvania,Charter,Middle,15261.23,100.0,27.6,81.8,66.5,98.4,11.92
874,Patrick Middle School,Illinois,Private,Elementary,21126.13,53.2,10.5,45.9,85.7,91.3,5.39
875,Russell High School,Florida,Charter,Middle,17607.74,64.8,14.3,50.4,85.6,60.2,3.06
876,Jones Elementary School,North Carolina,Private,Middle,24763.37,49.9,12.0,82.2,29.7,55.2,1.6
877,Dennis Middle School,Ohio,Charter,Middle,9293.89,47.7,17.5,42.1,84.1,50.6,5.3
878,Cooper Elementary School,California,Public,High,13869.84,70.6,27.6,31.4,67.0,80.9,12.61
879,Ramos Middle School,Texas,Charter,Middle,15504.27,58.2,27.0,66.1,72.9,77.0,7.66
880,Melendez Middle School,Pennsylvania,Public,High,18768.56,86.6,10.9,78.8,8.6,92.7,5.42
881,Smith High School,Ohio,Private,High,5311.0,53.5,27.6,56.8,46.2,63.0,14.93
882,Mckay Elementary School,Pennsylvania,Public,Elementary,20275.54,45.4,15.0,40.4,30.0,61.3,9.76
883,Lane Elementary School,Illinois,Charter,Middle,18930.9,61.1,15.3,79.2,69.1,96.6,10.95
884,Jacobs Elementary School,Florida,Public,High,16799.38,68.9,11.8,65.1,85.4,60.5,4.24
885,Vazquez Elementary School,Florida,Private,Elementary,24569.3,91.9,21.5,40.9,5.3,65.4,0.84
886,Nichols Middle School,North Carolina,Charter,Elementary,10307.57,85.0,21.5,49.8,82.8,65.2,6.62
887,Hill High School,Pennsylvania,Private,Elementary,11102.97,54.1,15.9,21.9,69.9,89.3,4.88
888,Hill Elementary School,New York,Public,Middle,6779.95,49.4,13.1,53.3,6.7,88.3,7.57
889,Vasquez Middle School,California,Public,Elementary,21735.99,52.5,27.5,45.8,90.1,96.1,0.78
890,Wright High School,New York,Charter,High,11241.62,47.5,17.0,11.4,30.8,53.6,7.96
891,Goodwin Middle School,Georgia,Charter,Elementary,21005.39,92.4,27.7,83.8,40.2,77.2,2.25
892,Downs Middle School,Pennsylvania,Public,High,17392.29,84.1,24.0,18.0,8.6,97.7,12.93
893,Sanchez High School,California,Private,Middle,9212.64,83.8,12.8,64.0,60.5,78.7,4.11
894,Edwards Middle School,Michigan,Charter,High,8253.69,89.3,10.3,10.9,91.5,68.8,4.57
895,Brown Middle School,Illinois,Private,Elementary,14768.73,91.3,11.2,36.0,15.0,94.3,7.55
896,Shelton High School,New York,Charter,Elementary,10424.44,73.6,26.3,43.9,76.0,70.8,8.22
897,Thompson High School,Texas,Charter,Elementary,9221.91,91.7,14.4,21.2,56.7,54.3,12.52
898,Klein High School,Texas,Private,Middle,6485.08,74.7,18.9,79.2,23.4,69.5,1.12
899,Martin High School,Pennsylvania,Private,High,6122.9,91.4,16.8,28.0,70.9,77.7,7.64
900,Martin Elementary School,Ohio,Private,High,23421.96,93.1,22.0,65.0,54.3,83.0,2.99
901,Hart High School,Georgia,Charter,Middle,20289.75,76.5,15.5,59.3,39.6,90.6,13.24
902,Walker Middle School,Illinois,Public,Middle,12136.25,92.4,21.2,39.2,85.9,60.0,3.66
903,Martin Elementary School,Ohio,Charter,High,9360.59,42.4,18.9,40.8,68.7,64.3,9.07
904,Andrews Middle School,Florida,Public,Middle,18697.17,66.8,10.5,27.9,91.4,95.5,11.33
905,Rice Middle School,Michigan,Charter,High,12300.19,91.8,15.3,53.7,60.1,56.0,10.08
906,Garcia Elementary School,North Carolina,Public,Elementary,16047.92,40.4,25.1,92.9,31.6,78.0,5.33
907,Dunn High School,Michigan,Private,Elementary,23670.41,67.4,11.7,29.0,40.5,60.3,3.42
908,Mueller High School,New York,Private,Elementary,23171.27,52.1,13.2,43.8,19.6,85.7,5.57
909,Miller Elementary School,Illinois,Charter,Middle,11008.01,90.2,17.9,28.6,18.9,68.5,5.27
910,Jarvis Middle School,North Carolina,Private,Middle,15577.66,59.2,27.9,68.8,48.0,76.5,2.59
911,Jackson Elementary School,Illinois,Public,Middle,9524.96,75.4,11.0,83.9,94.7,60.8,12.53
912,Farley Middle School,Texas,Charter,High,15227.4,89.8,14.5,65.6,32.7,51.3,2.97
913,Chen High School,Ohio,Public,Elementary,24487.67,56.9,11.5,40.2,26.7,97.5,8.73
914,Snyder Elementary School,Michigan,Charter,Middle,16149.46,68.6,26.6,46.6,11.8,85.6,5.11
915,Young Elementary School,Pennsylvania,Public,Middle,14987.76,58.6,11.4,43.7,69.1,72.8,6.11
916,Deleon High School,Texas,Public,High,8502.16,58.1,15.0,38.7,72.8,65.8,9.0
917,Reese Middle School,Georgia,Private,Elementary,6110.34,41.0,11.3,26.4,32.2,60.9,8.95
918,Nguyen Elementary School,Ohio,Private,Elementary,21551.26,87.4,13.7,19.9,75.7,51.0,13.03
919,Kline Elementary School,Florida,Public,Elementary,23806.61,52.6,25.2,56.3,42.1,87.9,13.27
920,Sanchez Middle School,California,Charter,Middle,16633.12,77.5,28.1,58.1,57.9,99.2,14.45
921,Kelley High School,New York,Private,High,11798.04,48.2,17.5,48.9,38.7,64.5,2.28
922,Briggs Middle School,California,Private,High,6927.49,43.8,29.7,48.3,17.7,82.7,5.84
923,Daniels High School,Georgia,Private,Middle,16080.69,75.1,14.3,66.1,81.4,51.6,4.22
924,Rice Middle School,Ohio,Public,High,24366.72,88.7,15.5,23.7,52.6,91.2,4.27
925,Whitaker Elementary School,Florida,Private,Elementary,7629.57,76.0,15.8,60.7,73.8,98.1,2.73
926,Garza Middle School,Texas,Private,Elementary,12901.02,72.3,15.3,59.2,16.7,50.1,14.86
927,Cook High School,Michigan,Public,High,16569.84,42.2,11.4,71.9,53.9,50.2,2.45
928,Ward Elementary School,North Carolina,Private,High,17018.49,44.1,15.5,55.5,91.8,88.1,8.76
929,Thomas Middle School,Ohio,Private,High,19992.39,77.3,16.4,79.9,82.7,50.9,10.92
930,Fox Middle School,California,Public,High,10149.31,93.9,15.0,18.7,65.5,61.0,14.96
931,Blackwell Middle School,Illinois,Charter,High,5964.16,79.4,26.5,28.3,11.5,69.5,9.04
932,Williams High School,New York,Private,Middle,18840.33,77.8,17.6,16.4,51.0,63.1,10.73
933,Hunter Elementary School,New York,Charter,High,8740.17,86.8,28.2,68.0,42.5,91.7,12.75
934,Taylor Elementary School,California,Public,High,19537.49,84.9,11.8,51.2,36.4,90.0,12.31
935,Middleton High School,Pennsylvania,Private,Elementary,15051.48,44.0,16.0,87.5,12.6,80.5,9.02
936,Boyd Elementary School,Michigan,Public,Middle,16280.13,40.7,12.2,93.8,88.1,74.4,5.54
937,Griffin High School,Florida,Private,Middle,21788.53,72.7,10.8,89.5,8.0,64.3,14.75
938,Barnett High School,Florida,Charter,Elementary,18401.05,79.2,18.5,46.9,41.9,86.5,0.5
939,Fuller High School,Florida,Charter,Middle,7323.13,59.4,12.7,74.5,72.5,52.6,1.96
940,Hudson Middle School,Pennsylvania,Private,Elementary,20102.49,99.9,16.1,27.0,37.4,79.2,8.78
941,Chase Middle School,New York,Charter,Middle,19276.61,60.8,11.0,39.2,46.2,88.2,3.0
942,Jackson Elementary School,Texas,Charter,High,20835.75,74.6,19.3,69.5,32.4,58.6,4.77
943,Baker Middle School,North Carolina,Charter,High,8864.83,59.6,17.1,30.4,47.6,64.8,14.43
944,Freeman Elementary School,Ohio,Private,High,11292.73,46.6,20.0,49.5,31.5,63.3,2.37
945,Ashley Elementary School,California,Charter,Elementary,18816.21,89.0,16.2,46.4,29.3,72.1,13.27
946,Johnson Middle School,New York,Public,Elementary,15922.25,88.0,16.9,55.5,7.4,94.5,3.33
947,Burns Elementary School,Texas,Private,High,17230.94,92.3,12.0,69.3,35.5,92.1,11.83
948,Ruiz High School,Illinois,Charter,Middle,19174.77,67.6,11.7,76.2,29.9,78.5,14.54
949,Johnson High School,Florida,Public,Elementary,12324.46,83.7,10.6,59.6,75.3,68.2,13.76
950,Evans High School,Illinois,Public,High,10223.65,81.0,14.3,87.2,68.3,54.3,8.19
951,Henderson Elementary School,Ohio,Private,Middle,17219.41,88.4,27.0,31.3,78.4,63.2,5.78
952,Thompson High School,North Carolina,Charter,High,9966.62,100.0,19.0,71.6,61.6,83.0,8.78
953,Williams High School,Florida,Public,Middle,13896.1,93.5,13.1,48.1,72.4,68.3,3.76
954,Fleming Elementary School,Texas,Public,Middle,20653.17,87.3,18.6,65.7,25.0,65.5,14.99
955,Wilcox High School,California,Public,Middle,23652.5,42.2,18.1,48.6,33.2,91.4,14.44
956,Lopez Middle School,Pennsylvania,Public,Elementary,22037.91,87.9,29.7,64.2,41.4,81.7,3.51
957,Odonnell Elementary School,Texas,Charter,Elementary,24905.29,47.5,29.0,46.8,34.3,96.3,5.58
958,Steele Elementary School,Texas,Charter,Middle,5938.2,58.6,18.0,43.3,76.8,92.2,5.42
959,Sanchez Elementary School,Florida,Private,Elementary,17574.9,94.5,13.9,74.6,71.5,67.1,7.69
960,Fowler High School,North Carolina,Public,Elementary,10657.23,62.4,17.8,30.8,10.8,81.7,5.15
961,Wolf Elementary School,Michigan,Public,Elementary,23162.29,95.2,22.6,80.6,36.5,88.5,1.64
962,Patel Elementary School,Georgia,Charter,High,20744.05,50.0,11.7,80.1,13.3,74.4,7.03
963,Obrien Elementary School,New York,Public,Elementary,23370.98,85.6,16.2,64.3,90.5,84.3,3.74
964,Cunningham High School,Georgia,Private,High,15405.36,99.9,14.3,83.9,41.6,93.9,14.34
965,Hernandez High School,New York,Charter,Middle,17893.28,76.2,24.2,29.2,66.5,82.2,1.4
966,Brown Elementary School,California,Public,High,21381.93,88.1,14.6,61.7,35.4,92.1,2.97
967,Burns Elementary School,Florida,Charter,Elementary,5618.49,66.8,18.4,69.8,30.2,88.5,4.37
968,Graham High School,Ohio,Public,High,6988.88,64.8,18.3,13.6,59.3,59.6,0.71
969,Fisher Middle School,Michigan,Private,Middle,8091.47,59.5,21.1,77.7,55.1,59.3,11.04
970,Castro High School,Ohio,Charter,Middle,5955.35,94.2,24.6,20.5,70.5,98.6,5.92
971,Burton Middle School,Texas,Private,Elementary,5473.56,93.7,12.2,92.8,81.9,88.0,11.82
972,Flores High School,Ohio,Public,Middle,19512.19,41.6,18.2,28.6,59.6,98.6,4.25
973,Hensley Middle School,Florida,Public,Elementary,13311.58,95.9,15.2,29.7,12.8,94.9,7.88
974,Warner Middle School,Pennsylvania,Private,Elementary,20784.6,79.4,21.7,27.6,64.4,65.6,14.84
975,Armstrong High School,Ohio,Private,High,23530.06,99.1,11.8,74.6,14.3,62.1,1.72
976,Campos Middle School,North Carolina,Charter,Elementary,24955.96,91.7,19.4,30.7,9.3,53.7,5.25
977,Williamson Elementary School,North Carolina,Charter,Middle,8214.13,64.6,12.0,37.3,82.0,78.8,7.74
978,Lewis Middle School,Illinois,Public,High,15368.29,88.8,21.9,59.6,80.3,99.7,4.91
979,Wallace Middle School,Florida,Charter,Middle,12663.93,43.0,22.1,39.1,50.8,54.8,1.53
980,Carr Middle School,Georgia,Private,Elementary,18270.33,98.0,26.4,86.5,65.2,89.7,8.07
981,Love High School,Pennsylvania,Charter,Elementary,8897.71,66.8,29.8,77.3,34.9,71.9,10.57
982,Harrington Elementary School,Illinois,Charter,High,10501.83,56.6,28.3,50.1,71.7,55.6,10.88
983,Fisher Elementary School,Texas,Public,Elementary,21767.23,79.3,17.1,61.8,7.3,52.4,9.68
984,Sloan Elementary School,New York,Charter,High,24978.15,87.8,16.9,83.9,88.2,99.8,10.71
985,Jones High School,Ohio,Public,Middle,12826.59,88.3,15.6,71.4,71.5,54.1,14.19
986,Guerra Elementary School,Pennsylvania,Private,Elementary,7391.47,92.8,18.7,25.1,17.2,73.9,3.38
987,Ramirez High School,Texas,Private,High,18936.17,89.5,19.4,25.7,22.4,61.4,9.96
988,Garrison High School,Ohio,Private,Elementary,22322.2,65.6,29.8,48.5,40.1,72.1,1.19
989,Salas High School,California,Public,High,11249.38,46.8,28.1,60.8,47.5,60.5,5.7
990,Martinez Middle School,Pennsylvania,Public,Middle,18776.09,69.6,25.5,39.4,89.7,50.9,9.39
991,Lewis Elementary School,Michigan,Charter,Middle,24981.81,54.9,22.3,66.7,92.4,76.9,12.13
992,Ortiz Elementary School,Illinois,Charter,Middle,10336.9,77.1,24.2,52.0,84.6,68.3,8.79
993,Rodriguez High School,Georgia,Private,Elementary,23066.08,92.0,21.1,86.8,52.0,73.3,7.98
994,Ray Middle School,Illinois,Charter,Elementary,19133.75,65.9,17.6,44.0,7.0,89.0,11.72
995,Wright Elementary School,Ohio,Public,Middle,7529.05,48.3,25.5,70.0,33.7,62.7,6.05
996,Hale High School,Ohio,Charter,Elementary,8775.63,51.9,18.3,12.9,61.0,50.5,10.03
997,Herrera Elementary School,Georgia,Public,High,24440.93,61.1,19.2,24.8,49.1,89.3,3.11
998,Combs High School,New York,Private,Middle,23947.18,94.2,25.2,16.7,51.1,55.8,7.14
999,Buckley Elementary School,Illinois,Private,Elementary,6459.87,57.0,17.0,73.6,48.4,64.0,1.21
1000,Berg Elementary School,Illinois,Private,Elementary,15471.48,51.6,10.9,31.1,83.9,94.2,1.53
